vout	abs(1/d(I(Vout)))
5.600000000000004e-001	4.830555e+003
5.610000000000004e-001	4.830555e+003
5.620000000000004e-001	4.831234e+003
5.630000000000004e-001	4.831574e+003
5.640000000000004e-001	4.831914e+003
5.650000000000004e-001	4.832593e+003
5.660000000000004e-001	4.832933e+003
5.670000000000004e-001	4.833273e+003
5.680000000000004e-001	4.833613e+003
5.690000000000004e-001	4.833953e+003
5.700000000000004e-001	4.834293e+003
5.710000000000004e-001	4.834973e+003
5.720000000000004e-001	4.835484e+003
5.730000000000004e-001	4.835654e+003
5.740000000000004e-001	4.835994e+003
5.750000000000004e-001	4.836505e+003
5.760000000000004e-001	4.836845e+003
5.770000000000004e-001	4.837356e+003
5.780000000000004e-001	4.837696e+003
5.790000000000004e-001	4.837867e+003
5.800000000000004e-001	4.838378e+003
5.810000000000004e-001	4.838889e+003
5.820000000000004e-001	4.839059e+003
5.830000000000004e-001	4.839400e+003
5.840000000000004e-001	4.839911e+003
5.850000000000004e-001	4.840252e+003
5.860000000000004e-001	4.840593e+003
5.870000000000004e-001	4.840934e+003
5.880000000000004e-001	4.841275e+003
5.890000000000004e-001	4.841616e+003
5.900000000000004e-001	4.841957e+003
5.910000000000004e-001	4.842469e+003
5.920000000000004e-001	4.842810e+003
5.930000000000004e-001	4.842981e+003
5.940000000000004e-001	4.843322e+003
5.950000000000004e-001	4.843664e+003
5.960000000000004e-001	4.844176e+003
5.970000000000004e-001	4.844517e+003
5.980000000000004e-001	4.844688e+003
5.990000000000004e-001	4.845030e+003
6.000000000000004e-001	4.845371e+003
6.010000000000004e-001	4.845713e+003
6.020000000000004e-001	4.846055e+003
6.030000000000004e-001	4.846396e+003
6.040000000000004e-001	4.846738e+003
6.050000000000004e-001	4.847080e+003
6.060000000000004e-001	4.847251e+003
6.070000000000004e-001	4.847593e+003
6.080000000000004e-001	4.847935e+003
6.090000000000004e-001	4.848277e+003
6.100000000000004e-001	4.848619e+003
6.110000000000004e-001	4.848790e+003
6.120000000000004e-001	4.849303e+003
6.130000000000004e-001	4.849646e+003
6.140000000000004e-001	4.849646e+003
6.150000000000004e-001	4.849988e+003
6.160000000000004e-001	4.850501e+003
6.170000000000004e-001	4.850672e+003
6.180000000000004e-001	4.851015e+003
6.190000000000004e-001	4.851357e+003
6.200000000000004e-001	4.851529e+003
6.210000000000004e-001	4.851871e+003
6.220000000000004e-001	4.852042e+003
6.230000000000004e-001	4.852385e+003
6.240000000000004e-001	4.852728e+003
6.250000000000004e-001	4.853070e+003
6.260000000000004e-001	4.853242e+003
6.270000000000005e-001	4.853413e+003
6.280000000000005e-001	4.853927e+003
6.290000000000005e-001	4.854099e+003
6.300000000000005e-001	4.854442e+003
6.310000000000005e-001	4.854785e+003
6.320000000000005e-001	4.854785e+003
6.330000000000005e-001	4.855128e+003
6.340000000000005e-001	4.855471e+003
6.350000000000005e-001	4.855642e+003
6.360000000000005e-001	4.855985e+003
6.370000000000005e-001	4.856329e+003
6.380000000000005e-001	4.856500e+003
6.390000000000005e-001	4.856672e+003
6.400000000000005e-001	4.857015e+003
6.410000000000005e-001	4.857358e+003
6.420000000000005e-001	4.857530e+003
6.430000000000005e-001	4.857702e+003
6.440000000000005e-001	4.858045e+003
